n,times
794,1051
795,1005
796,1003
797,1013
798,1086
799,1040
800,1010
801,1018
802,1016
803,1075
804,1034
805,1027
806,1008
807,1014
808,1113
809,1025
810,1020
811,1061
812,1074
813,1030
814,1015
815,1026
816,1056
817,1058
818,1072
819,1028
820,1032
821,1035
822,1056
823,1041
824,1055
825,1103
826,1039
827,1044
828,1119
829,1049
830,1085
831,1162
832,1096
833,1071
834,1056
835,1055
836,1049
837,1056
838,1124
839,1102
840,1106
841,1087
842,1065
843,1062
844,1120
845,1095
846,1102
847,1059
848,1164
849,1069
850,1116
851,1099
852,1077
853,1072
854,1072
855,1117
856,1079
857,1072
858,1269
859,1085
860,1154
861,1141
862,1089
863,1074
864,1177
865,1154
866,1084
867,1170
868,1095
869,1100
870,1092
871,1193
872,1089
873,1098
874,1148
875,1145
876,1157
877,1100
878,1092
879,1101
880,1194
881,1111
882,1109
883,1118
884,1113
885,1115
886,1246
887,1115
888,1170
889,1212
890,1133
891,1123
892,1118
893,1118
894,1153
895,1215
896,1115
897,1122
898,1144
899,1137
900,1120
901,1173
902,1162
903,1117
904,1251
905,1146
906,1130
907,1169
908,1118
909,1115
910,1202
911,1149
912,1271
913,1217
914,1125
915,1135
916,1120
917,1167
918,1122
919,1163
920,1126
921,1129
922,1269
923,1178
924,1144
925,1137
926,1123
927,1121
928,1234
929,1133
930,1152
931,1290
932,1139
933,1188
934,1126
935,1111
936,1134
937,1123
938,1144
939,1118
940,1131
941,1137
942,1136
943,1113
944,1122
945,1122
946,1131
947,1141
948,1125
949,1130
950,1139
951,1132
952,1184
953,1150
954,1166
955,1156
956,1211
957,1182
958,1186
959,1187
960,1202
961,1153
962,1152
963,1204
964,1163
965,1166
966,1161
967,1206
968,1176
969,1175
970,1227
971,1173
972,1229
973,1182
974,1218
975,1220
976,1179
977,1183
978,1199
979,1181
980,1190
981,1192
982,1236
983,1189
984,1228
985,1222
986,1190
987,1204
988,1199
989,1246
990,1274
991,1191
992,1195
993,1205
994,1200
995,1209
996,1201
997,1204
998,1244
999,1205
1000,1286
1001,1259
1002,1208
1003,1210
1004,1233
1005,1289
1006,1226
1007,1201
1008,1257
1009,1216
1010,1242
1011,1264
1012,1222
1013,1223
1014,1267
1015,1311
1016,1229
